"","Months","AUTOMOBILE","THEFT/RECOVERY: AUTOMOBILE","TRUCK, BUS, MOTOR HOME","ATT: AUTOMOBILE","THEFT/RECOVERY: TRUCK,BUS,MHOME","CYCLE, SCOOTER, BIKE W-VIN","ATT: TRUCK, BUS, MOTOR HOME","THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN","ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN","THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN","CYCLE, SCOOTER, BIKE NO VIN","ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN"
"1",2001-01-01,1518,249,186,101,35,1,4,0,0,1,0,0
"2",2001-02-01,1273,215,181,89,20,3,3,0,0,1,0,0
"3",2001-03-01,1541,290,194,80,38,6,2,0,0,0,0,0
"4",2001-04-01,1501,268,199,103,20,18,8,0,2,0,0,0
"5",2001-05-01,1502,292,192,138,36,33,4,0,0,0,0,0
"6",2001-06-01,1667,322,92,127,22,45,2,0,0,1,0,0
"7",2001-07-01,1953,372,46,159,8,26,2,0,1,2,0,0
"8",2001-08-01,1798,284,90,125,14,24,3,0,0,3,0,0
"9",2001-09-01,1974,237,94,163,19,17,8,0,0,2,0,0
"10",2001-10-01,2296,290,100,161,19,27,5,0,0,1,0,0
"11",2001-11-01,1870,215,131,111,30,11,10,0,0,0,0,0
"12",2001-12-01,1799,194,121,82,13,9,5,0,0,0,0,0
"13",2002-01-01,1632,204,139,92,18,4,3,0,0,0,0,0
"14",2002-02-01,1440,161,136,81,27,2,4,0,0,0,0,0
"15",2002-03-01,1619,186,152,92,24,4,5,0,1,1,0,0
"16",2002-04-01,1570,171,191,71,29,11,7,0,1,0,0,0
"17",2002-05-01,1511,198,181,74,38,18,5,0,0,1,0,0
"18",2002-06-01,1434,203,187,63,29,35,3,0,0,2,0,0
"19",2002-07-01,1744,215,193,104,32,41,6,0,4,2,0,0
"20",2002-08-01,1714,191,221,114,31,44,10,0,2,1,0,0
"21",2002-09-01,1577,211,229,116,31,28,11,0,0,2,0,0
"22",2002-10-01,1684,195,200,121,21,27,9,0,0,2,0,0
"23",2002-11-01,1517,190,240,86,31,6,10,0,0,0,0,0
"24",2002-12-01,1354,170,197,78,28,3,18,0,0,0,0,0
"25",2003-01-01,1311,134,196,69,29,3,7,0,1,0,0,0
"26",2003-02-01,1158,108,165,41,18,5,4,0,0,0,0,0
"27",2003-03-01,1335,162,178,73,36,8,8,0,0,0,0,0
"28",2003-04-01,1418,153,189,81,23,25,6,0,0,0,0,0
"29",2003-05-01,1430,160,180,101,21,23,5,0,0,0,0,0
"30",2003-06-01,1386,158,177,81,29,60,10,0,1,3,0,0
"31",2003-07-01,1459,226,217,91,40,41,11,0,1,2,0,0
"32",2003-08-01,1442,192,200,92,39,60,6,0,0,4,0,0
"33",2003-09-01,1467,170,191,116,22,37,15,0,0,2,0,0
"34",2003-10-01,1412,192,198,100,27,37,14,0,0,0,0,0
"35",2003-11-01,1416,176,209,79,36,6,11,0,0,0,0,0
"36",2003-12-01,1444,124,244,63,25,9,14,0,0,0,0,0
"37",2004-01-01,1324,130,215,66,34,4,15,0,0,0,0,0
"38",2004-02-01,1275,125,182,60,13,5,4,0,0,0,0,0
"39",2004-03-01,1454,152,204,64,23,6,5,0,0,0,0,0
"40",2004-04-01,1438,164,220,59,16,23,13,0,0,3,0,0
"41",2004-05-01,1441,187,223,66,19,21,10,0,1,0,0,0
"42",2004-06-01,1448,187,197,70,31,33,9,0,0,0,0,0
"43",2004-07-01,1483,229,184,65,19,37,10,0,2,0,0,0
"44",2004-08-01,1458,146,230,68,20,48,8,0,2,3,0,0
"45",2004-09-01,1363,177,173,81,24,48,10,0,0,1,0,0
"46",2004-10-01,1388,193,205,73,33,22,16,0,0,0,0,0
"47",2004-11-01,1377,154,191,85,23,10,10,0,0,1,0,0
"48",2004-12-01,1430,169,205,55,23,5,9,0,0,0,0,0
"49",2005-01-01,1292,153,228,67,25,2,12,0,0,0,0,0
"50",2005-02-01,1198,120,181,52,30,3,7,0,0,0,0,0
"51",2005-03-01,1419,154,215,73,29,4,11,0,0,1,0,0
"52",2005-04-01,1293,188,201,52,28,12,7,0,1,1,0,0
"53",2005-05-01,1395,169,183,69,23,31,11,0,1,1,1,0
"54",2005-06-01,1358,142,198,73,32,53,16,0,1,2,0,0
"55",2005-07-01,1283,160,238,61,17,55,6,0,3,4,0,0
"56",2005-08-01,1347,142,229,64,27,68,10,0,1,0,0,0
"57",2005-09-01,1326,171,225,45,28,40,11,0,1,2,1,0
"58",2005-10-01,1575,178,247,70,32,31,12,0,0,4,0,0
"59",2005-11-01,1435,131,232,60,40,23,15,0,1,0,1,0
"60",2005-12-01,1569,106,281,42,15,9,5,0,0,0,0,0
"61",2006-01-01,1548,199,243,59,30,5,12,0,0,0,0,0
"62",2006-02-01,1287,151,198,41,23,9,2,0,0,1,0,0
"63",2006-03-01,1348,174,245,52,35,7,7,1,0,0,0,0
"64",2006-04-01,1261,116,239,49,32,25,9,1,1,0,0,0
